id,r,airfoil,dr,twist,chord
1,2.8667,1,2.733,13.308,3.542
2,4.1170531914893616,1,2.733,13.308,3.6847249828941866
3,5.367406382978723,1,2.733,13.308,3.827449965788374
4,6.617759574468084,1,2.733,13.308,3.970547304287312
5,7.868112765957446,2,2.733,13.308,4.11372973904975
6,9.118465957446809,2,3.0471399197558426,13.308,4.256622947113956
7,10.368819148936169,3,3.547398301459227,13.308,4.399344797051279
8,11.61917234042553,3,4.047656683162613,13.308,4.542066646988602
9,12.869525531914892,3,4.1,12.808855445770629,4.582940225739492
10,14.119878723404254,4,4.1,12.2513809008822,4.611911824078879
11,15.370231914893616,4,4.1,11.693906355993773,4.640883422418267
12,16.620585106382975,4,4.1,11.232285080435911,4.615538168137001
13,17.870938297872335,4,4.1,10.83034227400104,4.556375114686041
14,19.121291489361703,4,4.1,10.428399467566166,4.49721206123508
15,20.371644680851063,4,4.1,10.04363096886352,4.436506405293202
16,21.621997872340422,4,4.1,9.692617182667359,4.372768888946549
17,22.872351063829782,5,4.1,9.3416033964712,4.309031372599896
18,24.122704255319142,5,4.1,8.989436981837054,4.24470867566165
19,25.37305744680851,5,4.1,8.61860052309289,4.170907340944473
20,26.62341063829787,6,4.1,8.247764064348729,4.097106006227296
21,27.87376382978723,6,4.1,7.876927605604568,4.023304671510119
22,29.12411702127659,6,4.1,7.4977755137519475,3.9454643149974054
23,30.374470212765956,6,4.1,7.116265308251167,3.866478588998443
24,31.624823404255316,6,4.1,6.734755102750389,3.7874928629994815
25,32.875176595744676,6,4.1,6.363613679813182,3.7104894042553194
26,34.125529787234036,6,4.1,6.002841039439545,3.6354682127659577
27,35.3758829787234,7,4.1,5.642068399065906,3.5604470212765955
28,36.62623617021276,7,4.1,5.2819695054488855,3.4854258297872343
29,37.87658936170212,7,4.1,4.9242465070057095,3.4104046382978725
30,39.12694255319148,7,4.1,4.566523508562534,3.335383446808511
31,40.37729574468085,7,4.1,4.208800510119357,3.2603622553191487
32,41.62764893617021,7,4.1,3.8826729709392844,3.1853410638297874
33,42.87800212765957,8,4.1,3.5584960337311893,3.1103198723404257
34,44.12835531914893,8,4.1,3.2343190965230937,3.035298680851064
35,45.37870851063829,8,4.1,2.962088034250131,2.9602774893617023
36,46.62906170212766,8,4.1,2.716286894654904,2.88525629787234
37,47.87941489361702,8,4.1,2.470485755059679,2.8102351063829785
38,49.12976808510638,8,4.1,2.2262058313440587,2.735213914893617
39,50.38012127659574,8,4.1,1.984369226258434,2.6601927234042555
40,51.630474468085104,8,4.1,1.7425326211728076,2.5851715319148934
41,52.880827659574464,8,4.047656683162614,1.5006132998806245,2.5101504170068294
42,54.131180851063824,8,3.54739830145923,1.257986154987176,2.4351299574243908
43,55.381534042553184,8,3.0471399197558453,1.0153590100937273,2.360109497841952
44,56.631887234042544,8,2.733,0.7790950841901823,2.2743662963715443
45,57.88224042553191,8,2.733,0.5535713131426361,2.170524722278658
46,59.13259361702127,8,2.733,0.3475345864363165,2.0292407922462994
47,60.38294680851063,8,2.733,0.2267672932181586,1.7241203961231506
48,61.6333,8,2.733,0.10599999999999998,1.419
